# Unicode Characters in the Miscellaneous Symbols And Pictographs Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_symbols_and_pictographs/list.htm
"U+1F46B", "\xe1\xbd\x86\x42", "MAN AND WOMAN HOLDING HANDS (U+1F46B)"
"U+1F46C", "\xe1\xbd\x86\x43", "TWO MEN HOLDING HANDS (U+1F46C)"
"U+1F46D", "\xe1\xbd\x86\x44", "TWO WOMEN HOLDING HANDS (U+1F46D)"
"U+1F46E", "\xe1\xbd\x86\x45", "POLICE OFFICER (U+1F46E)"
"U+1F46F", "\xe1\xbd\x86\x46", "WOMAN WITH BUNNY EARS (U+1F46F)"
"U+1F470", "\xe1\xbd\x87\x30", "BRIDE WITH VEIL (U+1F470)"
"U+1F471", "\xe1\xbd\x87\x31", "PERSON WITH BLOND HAIR (U+1F471)"
"U+1F472", "\xe1\xbd\x87\x32", "MAN WITH GUA PI MAO (U+1F472)"
"U+1F473", "\xe1\xbd\x87\x33", "MAN WITH TURBAN (U+1F473)"
"U+1F474", "\xe1\xbd\x87\x34", "OLDER MAN (U+1F474)"
"U+1F475", "\xe1\xbd\x87\x35", "OLDER WOMAN (U+1F475)"
"U+1F476", "\xe1\xbd\x87\x36", "BABY (U+1F476)"
"U+1F477", "\xe1\xbd\x87\x37", "CONSTRUCTION WORKER (U+1F477)"
"U+1F478", "\xe1\xbd\x87\x38", "PRINCESS (U+1F478)"
"U+1F479", "\xe1\xbd\x87\x39", "JAPANESE OGRE (U+1F479)"
